ID	Tile Type				Max Pallete Value

000	Air Block(No Tile)				0

010	Full-Tile Coloured Brick			5
012	Up-Right Coloured Brick Stairs			5
013	Up-Left Coloured Brick Stairs			5

020	Full-Tile Grass					5
021	Half-Tile Grass					5
022	Up-Right Slope Grass				5
023	Up-Left Slope Grass				5

030	Full-Tile Green Brick				0
032	Up-Right Green Brick Stairs			0
033	Up-Left Green Brick Stairs			0

040	Full-Tile Red Brick				0
042	Up-Right Red Brick Stairs			0
043	Up-Left Red Brick Stairs			0

050	Full-Tile Yellow Brick				0
052	Up-Right Yellow Brick Stairs			0
053	Up-Left Yellow Brick Stairs			0

060	Full-Tile Invisible Block			0

070	Full-Tile Snow					0
071	Half-Tile Snow					0
072	Up-Right Slope Snow				0
073	Up-Left Slope Snow				0

080	Full-Tile Old Cave				0
081	Half-Tile Old Cave				0

090	Glass Pane Block				7

100	Full-Tile Wooden Cabin				2
102	Up-Right Cabin Stairs				2
103	Up-Left Cabin Stairs				2

110	Coloured Gem Block				6
120	Yellow Gem Block				0
130	Green Gem Block					0
140	Blue Gem Block					0

150	Full-Tile Light Stone Brick			0
152	Up-Right Light Stone Brick Stairs		0
153	Up-Left Light Stone Brick Stairs		0

160	Full-Tile Rough Stone Brick			3
162	Up-Right Rough Stone Brick Stairs		3
163	Up-Left Rough Stone Brick Stairs		3

170	Full-Tile Magic Block				0
172	Up-Right Magic Block Stairs			0
173	Up-Left Magic Block Stairs			0

180	Full-Tile Warped Ground				3
181	Half-Tile Warped Ground				3
182	Up-Right Slope Warped Ground			3
183	Up-Left Slope Warped Ground			3

190	Full-Tile Granite Block				0

200	Full-Tile Cracked Stone Block			2

210	Full-Tile Solid Colour Block			7

220	Full-Tile CheckerBoard Block			0

230	Full-Tile Carpet Block				4

240	Full-Tile Wooden Plank Block			2

250	Full-Tile Castle Brick				0

260	Full-Tile Castle Roof				3
262	Up-Right Slope Castle Roof			3
263	Up-Left Slope Castle Roof			3

270	Full-Tile Sand					3
271	Half-Tile Sand					3
272	Up-Right Slope Sand				3
273	Up-Left Slope Sand				3

280	Full-Tile SandStone				3
282	Up-Right SandStone Stairs			3
283	Up-Left SandStone Stairs			3

290	Full-Tile Volcano				4
291	Half-Tile Volcano				4
292	Up-Right Slope Volcano				4
293	Up-Left Slope Volcano				4

300	Full-Tile Castle Pillar Block			0

310	Full-Tile Volcanic Brick			5
312	Up-Right Volcanic Brick Stairs			5
313	Up-Left Volcanic Brick Stairs			5

320	Full-Tile Dark Stone Brick			5
322	Up-Right Dark Stone Brick Stairs		5
323	Up-Left Dark Stone Brick Stairs			5

330	Cabin Window Block				3

340	Full-Tile YI Grass				5
341	Half-Tile YI Grass				5
342	Up-Right Slope YI Grass				5
343	Up-Left Slope YI Grass				5

350	Full-Tile New Cave				6
351	Half-Tile New Cave				6
352	Up-Right Slope New Cave				6
353	Up-Left Slope New Cave				6

360+	Air Block(No Tile)				0
